,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma
miR-4646-5p,15,99,178,587,807,160,604,195,378,160,415,18,83,488,26,23,61,78,56,49,79,163,72,41,68,71,973,965,370,583,368
miR-4647,0,7,12,39,49,12,29,5,22,8,36,2,5,20,6,4,2,4,7,0,7,13,8,2,0,10,50,34,21,27,17
miR-4648,0,4,4,33,31,4,10,4,10,2,13,0,2,18,0,8,0,1,3,1,4,4,4,1,3,4,27,32,11,13,4
miR-4649-3p,0,5,16,48,15,23,19,3,15,20,26,2,1,14,2,20,3,5,4,2,15,15,14,5,2,25,21,36,38,20,10
miR-4649-5p,5,12,20,56,85,26,46,15,31,19,44,3,2,42,3,22,4,9,7,5,16,22,3,1,3,32,77,92,44,43,28
miR-4650-3p,0,2,2,6,7,0,4,1,6,0,5,0,0,9,0,5,0,0,0,3,1,9,1,1,2,0,3,9,2,5,8
miR-4652-3p,1,3,8,56,3,7,0,4,2,0,6,0,7,3,0,1,10,1,3,2,5,12,6,3,2,1,0,1,4,2,2
miR-4652-5p,0,2,1,21,6,9,1,1,4,0,3,0,1,3,1,3,5,2,1,4,1,5,0,0,4,2,2,2,4,4,1
miR-4653-3p,0,0,5,8,13,2,7,1,3,1,5,0,0,3,0,3,1,0,0,0,0,4,0,4,3,1,11,19,4,5,6
miR-4653-5p,0,1,0,2,2,2,4,3,0,2,0,0,0,1,0,4,2,1,0,0,2,10,0,0,1,0,0,5,0,3,0
miR-4654,3,3,6,24,21,13,12,5,19,4,28,3,3,9,1,13,5,8,4,5,7,15,5,2,4,16,10,28,17,18,10
miR-4655-3p,9,36,30,66,37,67,25,20,43,18,43,22,28,22,11,33,58,25,29,24,48,72,50,13,21,36,24,16,66,27,13
miR-4655-5p,21,219,303,695,1070,212,625,203,333,235,481,31,94,625,43,181,52,98,113,81,160,344,83,30,111,215,810,786,528,653,373
miR-4656,17,142,225,536,684,154,492,162,287,140,376,15,51,373,15,70,24,68,71,29,113,170,39,19,43,81,704,818,356,407,351
miR-4657,7,20,18,84,39,13,54,47,21,8,44,2,1,45,4,0,11,9,6,5,10,15,18,8,5,6,106,136,28,84,103
miR-4658,0,4,9,39,67,4,17,31,25,7,21,1,4,22,0,11,1,4,1,1,8,10,2,4,3,6,36,42,33,31,17
miR-4659a-5p,0,1,8,4,3,1,2,0,1,0,3,0,2,1,0,4,0,1,2,0,0,3,0,0,3,3,7,5,1,2,3
miR-4659b-5p,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
miR-466,20,32,10,79,41,41,32,15,17,19,121,12,32,7,3,15,20,14,14,37,16,27,27,5,15,27,6,11,40,23,8
miR-4660,4,3,2,45,6,6,7,15,7,6,10,2,19,15,2,11,4,0,1,2,3,4,0,0,4,7,12,17,5,4,3
miR-4661-5p,0,2,5,6,1,0,1,0,5,2,3,0,2,2,0,1,2,0,0,1,4,6,0,1,5,1,3,3,5,1,0
miR-4662a-3p,54,3,16,12,5,7,13,0,4,3,1,8,3,10,17,1,13,4,15,9,4,25,1,17,7,1,11,12,5,6,28
miR-4663,0,2,4,6,5,5,3,5,2,2,8,2,0,1,0,8,1,2,0,1,0,5,1,1,2,3,4,1,2,2,1
miR-4664-3p,11,13,10,31,14,17,14,9,11,7,26,6,7,5,1,12,11,2,5,15,16,20,4,6,16,9,5,7,15,13,6
miR-4664-5p,0,0,0,13,3,0,2,0,0,1,0,0,7,1,1,1,0,0,1,0,5,3,2,0,0,3,2,0,12,6,3
miR-4665-5p,11,23,52,57,176,46,32,21,21,34,27,7,7,43,7,18,40,13,11,49,33,51,49,6,31,58,55,49,43,24,34
miR-4666a-5p,0,0,2,4,0,0,3,2,0,1,0,0,0,2,0,3,2,0,0,0,3,2,0,1,1,0,0,0,0,1,1
miR-4666b,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,1,0
miR-4667-3p,10,8,18,16,14,15,7,21,14,9,9,8,14,11,4,16,14,8,6,11,12,16,15,5,9,9,7,21,20,15,11
miR-4667-5p,17,71,85,525,474,92,330,167,334,74,262,11,52,249,21,23,16,37,36,34,68,46,44,18,31,25,534,549,198,339,187
miR-4668-3p,0,1,2,7,4,5,2,2,6,0,7,2,5,1,1,7,5,2,1,1,11,6,0,5,7,3,1,0,13,4,2
miR-4668-5p,4,1,3,8,4,10,2,13,10,2,9,2,7,2,3,8,4,5,2,2,1,10,3,4,0,7,4,5,16,7,4
miR-4669,1,6,24,61,62,10,44,20,20,13,45,0,3,52,3,27,2,19,15,10,19,37,0,3,6,15,62,81,48,40,23
miR-4670-5p,1,6,13,5,14,0,5,3,6,4,4,0,1,3,0,4,1,3,4,2,7,6,1,3,1,3,16,5,1,4,4
miR-4671-3p,2,5,3,23,0,2,0,3,0,0,2,1,2,0,0,3,3,0,0,2,1,2,0,1,3,0,0,3,1,2,3
miR-4671-5p,0,17,9,85,9,1,2,15,27,0,8,0,6,2,0,3,3,0,1,0,1,6,2,1,7,5,3,40,4,12,9
miR-4672,0,5,2,9,7,4,12,3,1,2,7,0,1,7,2,4,0,1,0,1,1,8,2,1,1,4,6,18,9,7,0
miR-4673,1,0,7,18,8,3,3,0,4,2,4,0,1,6,2,1,0,3,1,2,3,6,1,1,4,2,4,9,7,13,7
miR-4675,1,3,12,14,12,4,4,2,10,5,8,0,0,8,1,10,3,4,0,0,4,13,0,2,3,10,5,15,7,11,8
miR-4676-3p,7,12,13,16,32,12,14,7,17,11,12,6,5,5,0,10,6,4,2,5,22,12,6,2,7,8,37,16,28,22,16
miR-4677-3p,1,5,11,20,7,0,8,5,7,8,10,6,7,8,8,3,10,5,7,11,3,17,5,3,19,8,1,8,10,10,11
miR-4677-5p,0,2,5,7,1,2,0,0,0,3,2,0,0,1,0,3,1,2,2,1,0,3,2,0,3,5,0,2,2,0,0
miR-4678,1,0,2,1,0,1,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,1,0,1,2,0,1,0,0,0,0
miR-4679,1,0,1,6,1,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,3,2,1,1,0,0,0,0,0,2,0
miR-4680-3p,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
miR-4680-5p,0,14,9,60,35,16,13,43,18,14,36,1,9,13,4,6,0,2,6,8,19,6,12,3,5,8,21,63,66,93,18
miR-4681,1,1,4,25,15,4,9,4,9,9,9,2,4,10,2,8,4,2,3,8,2,8,0,4,1,2,22,60,3,10,9
miR-4682,1,1,3,5,2,0,1,4,2,0,3,0,1,4,0,5,2,3,2,3,8,8,1,2,1,2,3,4,4,5,1
miR-4683,0,5,6,17,26,1,4,11,16,24,1,2,1,8,1,2,11,5,1,3,18,10,3,0,5,1,6,7,10,15,5
miR-4684-3p,2,1,6,18,7,4,11,5,18,8,11,2,2,8,1,9,5,8,8,6,11,17,12,1,9,3,21,11,17,27,13
miR-4684-5p,2,4,6,17,1,8,1,2,2,5,4,2,1,5,1,6,8,2,1,3,8,4,11,2,4,5,2,1,5,6,1
miR-4685-3p,8,6,15,17,31,12,18,2,14,10,9,9,4,10,9,19,2,6,9,8,13,10,2,6,12,12,7,12,37,9,3
miR-4685-5p,9,37,15,155,197,45,120,45,71,32,79,4,10,93,3,24,8,15,19,5,23,51,12,13,11,29,168,179,105,114,75
miR-4686,0,0,1,3,1,0,3,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,2,0,3,1,0,2,3,0,0
miR-4687-3p,9,52,63,206,272,51,206,60,123,45,132,9,35,119,15,38,11,31,30,13,31,81,34,6,23,66,278,270,142,144,144
miR-4688,16,83,165,582,596,161,329,194,236,142,469,20,66,276,16,89,51,54,57,52,137,137,119,35,42,148,466,554,500,352,238
miR-4689,2,19,35,106,112,33,67,22,78,30,77,3,15,59,6,11,12,14,19,14,18,33,12,7,21,21,125,142,68,83,53
miR-4690-3p,3,5,26,58,20,8,21,11,11,4,24,3,4,25,4,108,5,4,17,5,32,68,10,1,13,59,21,42,39,35,17
miR-4690-5p,111,380,569,690,1059,663,467,586,437,489,547,79,219,399,89,557,382,223,172,776,677,916,568,102,434,684,721,716,614,406,298
miR-4691-3p,2,2,2,5,1,5,1,1,8,1,0,0,2,4,0,8,0,2,4,0,7,4,0,1,3,9,8,9,8,4,5
miR-4691-5p,2,6,4,7,8,7,15,5,7,2,3,3,1,4,1,38,5,2,5,1,10,18,0,0,1,18,8,15,14,10,8
miR-4692,0,0,0,8,4,7,4,1,2,0,1,0,0,3,0,1,1,1,2,2,0,6,0,0,2,1,2,3,4,6,1
miR-4693-3p,0,2,1,2,0,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,6,0,0,1,1,0,0,0,0,0
miR-4693-5p,0,0,0,2,1,0,1,2,0,1,2,0,0,0,0,2,2,2,1,0,1,2,1,0,2,3,1,0,1,1,0
miR-4694-5p,0,0,2,3,0,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,6,0,1,2,0,0,0,0,0
miR-4695-3p,0,3,2,14,5,4,5,3,8,2,11,1,0,0,0,7,3,0,1,1,5,13,5,1,2,4,4,8,15,5,0
miR-4695-5p,54,424,635,1791,2036,501,1428,467,997,547,1396,77,222,1094,74,220,129,299,241,156,302,653,214,85,176,363,2213,1819,1276,1158,831
miR-4696,0,2,0,8,3,0,0,1,1,0,0,0,0,2,0,10,0,3,2,1,5,2,0,1,1,3,2,0,2,5,0
miR-4697-3p,1,6,22,62,7,13,19,38,22,3,40,0,4,48,0,7,3,0,2,2,19,9,8,1,0,9,29,46,36,97,19
miR-4697-5p,1,7,21,26,7,3,17,16,4,0,27,4,5,10,0,1,3,4,5,2,2,10,7,3,8,3,17,29,11,43,6
miR-4698,0,0,0,5,3,0,0,0,0,0,3,0,1,0,0,3,0,0,0,0,0,0,0,0,2,0,0,1,0,5,1
miR-4699-3p,0,0,6,12,4,6,3,2,7,3,5,6,2,2,0,3,6,1,2,13,4,4,5,3,3,2,3,1,2,9,2
miR-4699-5p,0,4,3,9,7,7,0,0,5,3,7,1,2,0,0,9,9,1,0,3,7,16,4,3,4,1,4,4,15,6,9
miR-4700-5p,0,8,8,42,27,20,21,12,27,7,28,3,5,22,2,3,8,8,8,12,16,4,11,7,6,3,19,42,25,41,18
miR-4701-3p,4,12,8,80,114,17,54,13,44,20,14,2,4,36,3,4,6,6,8,4,14,8,3,4,7,17,87,106,24,33,33
miR-4701-5p,2,6,12,22,18,11,8,3,12,15,17,2,10,5,5,8,1,0,2,4,4,14,7,0,7,6,7,25,21,10,18
miR-4703-5p,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
miR-4704-3p,0,0,1,6,1,1,0,2,0,1,3,3,0,1,0,0,0,0,0,1,1,3,0,0,2,0,0,0,0,1,0
miR-4704-5p,0,1,3,2,2,0,0,1,2,0,1,0,0,0,0,3,0,0,0,0,1,3,0,0,3,3,7,0,3,1,2
miR-4705,37,30,15,19,1,1,83,12,17,36,0,62,0,52,33,11,58,111,99,63,3,38,25,131,16,29,11,38,123,10,59
miR-4706,18,82,169,234,310,83,238,51,143,126,178,8,24,167,14,47,50,84,45,39,60,163,64,14,53,172,272,319,160,201,130
miR-4707-3p,13,17,32,82,45,24,18,6,77,10,35,20,14,20,30,68,18,11,17,14,33,42,32,15,21,27,36,52,43,22,18
miR-4707-5p,0,2,21,28,13,5,8,2,5,7,4,2,4,2,3,49,1,1,7,3,36,53,5,0,11,25,14,21,16,12,7
miR-4709-3p,2,8,9,19,22,13,9,5,12,80,24,1,1,8,0,2,2,5,7,3,15,4,7,3,16,4,11,23,182,12,10
miR-4709-5p,0,7,7,39,28,29,0,1,30,112,25,5,5,5,0,9,5,8,5,23,19,9,5,6,39,16,4,12,172,10,7
miR-4711-3p,0,0,0,2,3,0,2,0,2,0,0,0,0,0,0,3,1,1,0,1,1,4,2,4,1,0,0,1,1,0,5
miR-4712-5p,0,4,19,52,80,11,22,19,10,6,68,0,2,35,2,0,0,18,5,2,4,5,0,4,8,14,49,27,22,35,16
miR-4713-3p,1,3,11,33,30,12,22,12,14,12,16,2,8,17,2,3,5,3,10,27,15,20,5,5,13,5,36,19,33,19,11
miR-4713-5p,2,8,4,22,5,10,2,1,6,1,25,2,16,0,1,5,4,5,3,6,3,13,9,2,8,7,2,2,6,4,2
miR-4714-5p,1,6,8,15,7,9,15,7,3,2,10,2,5,13,0,1,0,4,4,1,1,1,1,0,9,6,39,48,30,15,15
miR-4718,1,0,1,2,0,2,1,0,7,1,2,0,0,0,0,1,0,0,1,0,1,3,0,0,1,4,1,1,3,1,0
miR-4719,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,3,0,6,0,0
miR-4720-3p,0,4,0,4,4,6,1,0,1,5,8,0,1,1,0,0,2,0,0,0,0,1,1,2,1,1,0,0,3,1,1
miR-4720-5p,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,1,1,0,0,1,2,0,0,1,0,0
miR-4721,1,3,11,42,37,11,42,14,21,1,20,2,6,20,6,17,6,5,9,2,8,11,1,2,8,11,25,46,30,30,17
miR-4722-3p,4,17,26,76,44,15,25,21,32,14,47,6,10,24,4,57,18,10,12,12,44,51,13,8,6,58,38,67,76,36,25
miR-4722-5p,6,22,67,140,208,50,113,46,102,36,109,5,22,92,8,92,18,37,19,14,77,97,23,4,25,62,178,196,146,174,99
miR-4723-3p,4,6,9,36,17,11,19,6,18,17,23,7,11,12,2,31,7,13,13,6,25,28,17,5,9,24,20,40,27,30,10
miR-4723-5p,2,8,6,36,28,7,12,10,15,12,20,1,5,14,0,5,1,1,2,5,5,4,5,0,3,3,23,37,20,19,16
miR-4724-3p,1,0,1,8,0,0,6,3,5,9,9,0,0,4,2,4,0,0,1,2,3,4,1,2,1,5,2,10,14,5,5
miR-4725-3p,5,11,15,41,71,21,30,8,16,9,40,6,6,14,1,29,12,6,2,8,13,26,14,5,6,20,39,30,67,29,7
miR-4725-5p,2,16,27,73,81,33,36,17,33,4,50,6,7,37,0,29,4,7,11,5,24,21,9,1,5,24,50,54,42,49,39
miR-4726-3p,9,3,8,13,18,27,10,6,14,4,29,8,14,6,4,24,20,11,9,15,23,21,28,4,11,18,13,19,23,19,10
miR-4726-5p,12,75,129,437,602,129,417,113,328,100,261,26,40,398,32,60,31,71,71,38,80,139,53,21,44,80,740,677,305,379,341
miR-4727-3p,1,2,1,22,5,5,15,4,4,5,6,0,4,4,1,1,1,7,0,3,4,5,4,3,7,7,2,23,3,8,11
miR-4727-5p,3,7,7,14,11,16,3,0,12,6,11,2,3,7,0,2,1,6,4,4,7,3,1,1,3,5,5,2,13,13,2
miR-4728-3p,5,15,31,80,90,31,25,12,28,11,34,6,17,30,2,169,10,9,26,29,104,111,27,9,13,126,47,82,143,75,32
miR-4728-5p,44,275,440,1399,1498,402,1239,383,724,356,786,53,185,821,52,91,94,232,185,135,177,386,112,64,163,149,1596,1309,928,1053,654
miR-4729,0,0,1,4,0,0,2,2,1,0,0,1,1,1,0,1,1,0,3,0,3,1,0,1,1,2,3,0,0,0,0
miR-4730,1,1,11,14,6,2,1,4,8,1,4,2,1,0,0,2,2,0,2,6,6,3,2,3,2,8,6,9,9,4,4
miR-4731-3p,0,3,1,7,0,4,4,1,4,2,9,3,6,6,1,3,3,1,0,2,2,2,3,0,0,2,3,6,9,8,4
miR-4731-5p,1,8,9,9,10,5,12,3,3,2,6,0,1,4,0,7,1,0,0,4,4,10,1,0,4,5,13,11,10,2,3
miR-4732-3p,0,1,17,17,13,12,14,0,8,22,7,2,2,8,1,44,5,5,8,1,18,28,4,1,2,43,13,17,21,23,10
miR-4732-5p,7,21,25,116,65,30,107,20,54,34,56,1,7,50,4,7,8,21,11,7,11,30,9,3,8,11,94,114,85,71,34
miR-4733-3p,1,1,1,12,0,6,0,9,3,3,3,0,3,8,1,10,2,0,3,2,8,2,1,4,5,8,3,6,5,4,4
miR-4734,55,237,505,736,404,276,325,273,197,422,571,55,123,204,75,1155,168,219,244,181,757,1143,442,57,179,835,318,332,863,340,150
miR-4735-5p,0,1,0,4,0,1,0,0,1,4,0,0,1,1,0,1,0,0,0,2,2,0,0,1,7,2,0,2,2,1,0
miR-4736,2,10,4,21,21,6,17,3,10,2,12,2,5,14,0,6,3,1,4,4,10,3,2,2,7,3,17,17,7,15,12
miR-4737,2,2,8,29,10,5,21,18,43,2,14,0,2,10,1,16,2,2,3,1,12,18,6,2,6,9,23,45,14,27,14
miR-4738-3p,3,5,11,69,57,10,31,10,28,17,29,4,13,22,6,6,4,11,2,4,9,16,9,0,7,13,53,69,48,48,30
miR-4738-5p,1,2,1,3,0,0,0,2,1,1,0,0,4,0,5,5,1,1,2,1,0,7,2,2,2,3,0,1,1,3,2
miR-4742-3p,2,3,4,27,2,2,1,8,7,7,1,3,10,2,5,3,5,8,0,3,5,2,7,3,2,3,0,12,12,8,3
miR-4742-5p,3,2,2,22,14,4,7,19,4,4,6,2,10,11,3,1,4,5,1,2,5,3,5,5,4,8,6,12,7,9,8
miR-4743-3p,0,0,0,4,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,2,3,0,0,0,0,0,1,6,0,0
miR-4743-5p,7,35,70,209,264,78,166,54,132,86,123,5,21,158,11,19,9,39,35,18,32,49,16,6,33,15,321,345,192,163,130
miR-4744,0,0,0,3,0,0,1,1,0,1,3,0,0,1,0,0,0,0,0,0,2,0,0,0,1,3,0,2,4,1,0
miR-4745-3p,19,42,38,114,54,93,38,25,53,33,117,30,36,31,13,29,68,49,47,88,63,88,74,20,52,47,23,25,82,38,28
miR-4746-5p,5,10,10,31,27,18,4,10,17,10,26,4,5,15,5,9,11,6,9,9,16,24,10,4,8,18,11,25,25,18,12
miR-4747-3p,3,10,21,27,28,16,18,4,17,6,34,1,3,11,4,6,9,10,8,6,12,17,6,8,3,8,21,26,13,16,18
miR-4747-5p,1,2,14,45,58,26,40,11,30,13,28,0,7,57,3,3,6,10,3,9,7,6,5,1,2,6,58,107,35,31,40
miR-4748,3,8,6,32,14,12,12,14,13,7,9,5,0,19,2,11,3,1,3,6,11,8,3,3,5,10,24,20,13,23,15
miR-4750-5p,5,8,13,46,37,13,15,9,17,5,31,4,7,15,3,33,2,9,7,5,18,27,9,7,3,7,30,31,22,24,17
miR-4751,0,7,26,15,25,48,10,4,13,6,19,2,4,12,1,5,15,7,4,5,3,27,15,7,12,12,16,16,18,5,4
miR-4752,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,5,0,0,0,0,1,1,0,5,1
miR-4753-3p,2,6,4,13,7,4,3,4,3,3,5,4,4,1,1,3,6,3,3,10,11,4,5,6,3,1,5,1,5,2,3
miR-4753-5p,3,44,44,148,91,72,86,30,84,42,129,10,23,65,5,18,12,13,9,23,37,40,21,4,19,27,124,144,135,105,37
miR-4756-5p,4,3,3,5,8,8,3,2,3,1,2,0,2,2,1,8,4,3,7,3,7,14,3,3,2,5,7,14,5,2,2
miR-4758-5p,27,82,140,420,418,129,363,85,213,109,203,19,32,256,17,230,37,74,91,31,183,252,51,29,44,188,467,561,272,350,218
miR-4759,0,0,0,3,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0,0
miR-4760-3p,0,2,2,8,3,5,2,0,1,0,4,0,0,0,0,4,2,0,0,1,0,0,1,0,1,0,0,0,0,0,0
miR-4760-5p,1,0,2,13,2,2,0,2,2,0,1,2,0,2,1,0,3,0,1,2,0,2,3,3,5,1,0,0,3,0,1
miR-4761-3p,1,1,1,5,2,1,1,1,3,3,1,0,2,0,1,6,3,4,3,1,1,1,3,2,4,2,2,0,6,3,6
miR-4761-5p,1,0,6,7,5,2,1,0,0,1,7,0,3,2,0,11,7,0,2,1,1,2,0,0,1,3,1,0,10,6,1
miR-4762-5p,5,1,7,13,9,6,10,5,3,6,0,1,0,5,0,17,2,5,0,1,3,15,1,3,4,1,17,6,6,8,10
miR-4763-3p,98,578,1145,1787,2606,699,1653,773,1019,752,1450,85,278,1379,109,807,371,414,397,366,721,1317,572,163,322,1398,2487,2429,1614,1539,1129
miR-4764-3p,0,0,1,0,0,0,0,3,0,0,0,1,0,2,0,0,1,0,0,1,0,0,1,4,1,4,0,0,0,2,0
miR-4764-5p,0,0,0,7,2,0,0,2,1,1,2,1,1,0,0,2,1,3,1,0,0,4,0,2,0,2,0,3,1,2,0
miR-4765,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
miR-4766-3p,0,0,1,2,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0
miR-4766-5p,1,0,1,2,2,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,5,3,0,0,2,0
miR-4768-5p,1,0,0,2,0,0,1,1,4,0,1,0,0,0,0,2,0,0,0,0,2,3,0,2,0,1,4,8,1,5,2
miR-4769-3p,5,16,20,53,61,21,24,12,35,5,53,5,8,22,2,18,15,13,15,13,17,29,4,6,15,25,24,55,52,62,18
miR-4769-5p,8,22,53,145,158,66,143,51,82,39,55,13,16,74,2,19,30,34,24,22,28,48,17,12,19,25,184,214,123,129,67
miR-4770,0,0,1,1,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,1,1,0,0,0,0,0
miR-4771,0,0,2,5,2,3,1,0,2,1,5,0,0,0,0,2,1,0,1,0,3,2,0,0,2,2,4,2,0,2,2
miR-4772-5p,0,0,0,6,2,0,1,1,1,0,1,0,0,0,0,2,0,0,0,0,1,6,1,0,6,4,0,1,0,2,0
miR-4773,0,1,7,17,51,3,5,5,9,2,4,1,7,3,1,7,3,3,0,2,2,5,2,1,2,4,13,9,10,6,2
miR-4774-3p,0,0,2,3,0,0,2,4,0,0,0,1,0,1,0,6,3,1,0,1,2,4,0,0,1,4,3,3,4,8,2
miR-4774-5p,0,0,0,2,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,5,3,0,1,0,2,0
miR-4775,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,3,2,0,0,3,0,0
miR-4777-3p,0,2,2,7,0,0,0,0,2,0,2,0,0,0,0,4,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
miR-4777-5p,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
miR-4778-3p,1,0,2,20,0,0,0,0,0,1,0,0,1,0,0,6,0,0,0,0,0,2,0,1,1,5,1,1,2,2,0
miR-4779,2,2,3,19,8,3,15,4,11,6,13,0,0,1,0,1,1,2,0,0,3,11,1,1,2,2,11,21,4,9,8
miR-4780,0,1,4,2,3,11,6,0,0,3,1,0,0,3,0,0,1,4,2,2,1,9,2,2,1,2,2,5,12,6,1
miR-4781-3p,0,0,3,6,1,2,3,1,0,1,3,1,2,0,0,3,3,0,3,1,4,3,3,2,0,0,0,0,6,2,1
miR-4781-5p,1,3,5,11,7,1,1,4,5,1,3,4,1,0,1,1,4,2,3,3,5,7,1,0,6,2,1,1,4,7,1
miR-4782-5p,0,0,6,4,4,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,2,1,1,2,1,0,0
miR-4783-3p,4,8,9,36,19,4,6,5,9,12,21,0,5,5,3,38,5,4,4,20,24,41,10,5,10,33,5,4,21,12,4
miR-4784,2,17,24,81,123,18,57,18,33,14,44,0,7,46,9,5,2,10,3,5,13,15,6,1,10,12,93,83,58,43,40
miR-4786-3p,0,2,7,11,1,1,1,0,2,0,3,0,0,1,0,14,3,4,0,1,2,6,3,0,1,5,2,6,9,5,5
miR-4786-5p,3,7,13,37,22,1,26,18,11,8,24,1,0,27,1,9,3,2,3,1,7,8,7,4,4,7,35,37,11,19,17
miR-4788,0,3,2,32,0,6,7,25,7,6,6,1,8,5,1,6,13,5,3,5,7,23,11,8,4,10,13,7,6,14,7
miR-4789-3p,6,32,36,50,18,11,10,13,3773,13,2,13,7,12,22,14,21,4,18,28,12,58,10,13,52,7,9,23,24,16,30
miR-4789-5p,0,2,4,3,0,0,0,0,29,1,0,0,0,1,1,0,2,1,0,1,0,1,1,4,3,0,0,0,0,2,0
miR-4790-3p,3,8,8,25,9,14,8,6,10,6,21,5,13,4,4,11,13,11,11,8,13,13,9,8,9,24,5,7,22,11,5
miR-4790-5p,3,5,10,5,5,3,1,1,3,0,6,3,2,1,1,3,6,5,2,6,9,16,10,6,7,8,0,1,8,4,3
miR-4791,0,5,3,3,2,3,2,0,1,1,3,0,1,1,0,0,6,1,1,7,3,1,2,3,1,1,0,3,1,0,0
miR-4793-3p,0,0,1,12,3,5,8,4,5,0,3,1,2,5,0,6,3,1,2,0,5,10,1,2,2,3,5,21,10,9,6
miR-4793-5p,4,4,21,29,14,22,5,12,10,16,13,1,4,7,11,8,12,13,8,12,22,25,14,9,16,10,0,6,11,11,7
miR-4794,0,0,4,10,14,4,6,1,4,2,2,0,1,1,0,4,2,0,0,0,0,0,3,0,2,2,6,5,12,14,4
miR-4795-3p,3,23,17,37,13,41,14,8,12,17,47,14,19,9,4,5,18,7,9,39,29,26,20,11,18,16,12,8,40,24,4
miR-4795-5p,7,11,11,25,14,34,10,12,13,10,26,7,11,3,2,3,16,14,4,28,27,20,19,8,18,6,5,6,23,8,8
miR-4796-5p,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0
miR-4798-3p,3,20,25,60,4,12,4,28,1,14,27,1,5,13,5,7,11,0,1,2,17,14,8,5,18,18,8,18,23,11,5
miR-4798-5p,7,6,9,13,15,13,4,8,4,8,5,8,4,5,4,10,7,4,4,11,9,17,10,3,3,5,4,4,14,7,2
miR-4799-5p,0,0,6,2,1,1,1,0,3,1,1,0,0,1,1,2,5,1,1,0,4,2,1,2,0,4,8,3,3,4,4
miR-4800-3p,12,89,134,329,138,100,103,28,35,91,234,17,60,42,10,80,53,44,34,45,113,184,61,23,30,155,137,70,241,54,82
miR-4800-5p,11,65,96,340,623,108,262,81,204,117,210,11,31,328,16,20,21,51,41,26,42,101,26,12,34,36,570,576,218,294,208
miR-4801,1,0,0,7,0,0,2,1,3,0,1,1,0,1,0,1,1,3,0,0,3,0,0,0,2,1,9,4,2,13,9
miR-4802-3p,0,1,0,5,13,3,0,0,0,4,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,4,0,2,2,3,1
miR-4802-5p,1,0,0,3,12,1,0,0,2,5,1,0,2,1,0,0,1,2,1,0,3,0,0,1,7,0,0,3,2,1,0
miR-4803,1,1,3,9,0,0,0,2,1,0,0,0,2,1,0,0,2,0,0,4,0,8,0,0,2,0,1,2,2,0,0
miR-4804-5p,8,8,20,18,4,13,7,2,7,4,11,1,18,11,3,0,11,7,6,11,2,28,1,11,30,15,8,11,8,10,11
