,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma
miR-1271-5p,247,441,825,572,387,659,456,191,403,558,350,329,208,404,308,630,719,713,453,947,318,1071,535,608,605,502,193,585,683,526,462
miR-1272,0,0,4,2,0,0,0,1,0,0,0,0,0,0,1,4,0,0,0,0,4,1,0,0,0,4,1,2,0,10,0
miR-1273a,8,60,105,342,200,43,156,110,114,54,189,9,13,110,7,395,14,37,80,17,225,353,22,13,27,289,200,324,214,268,130
miR-1273c,16,204,452,1164,811,288,584,368,461,226,641,28,100,518,49,1932,77,129,301,64,918,1644,138,63,126,1071,968,1152,967,1017,589
miR-1273d,315,4573,10214,15264,12090,3326,12514,3542,7496,4632,11706,252,2060,8890,583,25144,721,3067,5548,800,16568,24398,2560,462,2190,17955,17284,14492,12315,12603,7588
miR-1273e,44,434,1362,2456,1593,400,1589,579,841,479,1335,46,142,1182,65,4896,132,337,1001,87,3382,4715,459,79,344,3400,2009,2435,2735,2093,1089
miR-1273g-5p,9,153,220,611,719,158,505,151,272,168,367,9,64,372,26,290,16,82,99,31,189,301,49,10,79,207,950,742,431,477,403
miR-1273h-5p,201,2351,4165,10299,8120,2199,7700,2590,4241,2205,6093,126,793,5466,318,18137,466,1433,3120,523,9019,14017,1321,326,1240,12072,11109,11567,10178,10016,5534
miR-127-3p,3877,1156,201,45,1203,460,956,29,345,1298,225,1174,72,1220,3268,15,781,1157,2392,1561,1953,1127,558,2487,1683,307,483,2796,3276,414,2128
miR-1275,738,1085,1487,4263,4825,1415,2179,1170,2237,574,1234,1326,1398,1703,1095,2634,1052,1224,1804,1182,1034,999,3908,1147,544,1845,1690,1533,803,1302,1346
miR-127-5p,349,69,8,6,96,39,67,4,22,102,15,94,4,133,214,5,53,125,211,129,147,108,39,248,115,34,54,183,203,33,202
miR-1276,4,0,3,11,20,3,7,2,13,2,7,1,1,8,1,1,4,1,9,0,2,6,7,1,2,5,6,17,6,9,9
miR-1277-5p,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0
miR-1278,5,1,6,8,5,4,2,4,3,9,2,1,3,0,4,2,0,1,2,2,0,0,3,3,3,0,2,0,2,2,1
miR-1279,0,0,1,11,1,2,1,1,5,0,6,0,1,1,0,0,5,1,1,1,4,3,1,1,9,0,1,2,2,1,1
miR-128-1-5p,8,12,21,37,11,17,7,7,6,4,20,3,8,19,3,18,13,5,9,10,10,24,15,10,12,22,9,19,22,21,7
miR-1282,3,1,2,3,4,4,2,0,2,3,1,0,1,4,0,1,3,2,0,1,3,3,7,0,2,4,1,2,14,4,2
miR-128-2-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-1283,0,0,0,4,0,0,0,2,0,0,1,1,0,0,0,3,0,0,1,0,1,4,1,0,0,4,0,0,8,0,0
miR-128-3p,5422,4941,7835,21789,7404,5706,4913,15639,22791,3401,7860,4603,39691,8666,3058,5119,23551,8251,10545,3784,12329,6820,4463,11133,3828,9615,7476,15226,31083,56898,40682
miR-1285-5p,10,76,517,661,354,119,196,95,153,88,249,21,20,137,12,5726,59,102,856,35,3305,3893,280,27,126,3914,713,1906,2918,2299,791
miR-1287-3p,11,19,13,53,13,6,19,28,24,13,19,16,10,47,5,40,17,23,20,3,22,12,18,8,13,13,33,25,96,46,58
miR-1287-5p,28,27,31,167,44,55,54,137,72,22,36,24,45,111,20,49,40,56,63,30,72,35,68,23,40,59,92,51,190,82,181
miR-1288-3p,1,5,6,14,5,4,6,2,6,3,1,1,1,1,0,1,1,4,1,4,6,4,1,4,9,0,2,4,4,6,2
miR-1289,0,4,6,20,5,7,4,3,11,6,7,3,1,5,0,41,1,3,7,2,20,24,2,1,2,14,14,26,12,19,9
miR-1290,148,2138,3053,5171,12468,2252,3982,2089,4549,1928,7664,278,430,3034,311,369,1137,605,356,1232,722,1109,331,442,616,3235,7300,14952,5068,3889,2640
miR-1291,226,500,1085,5462,1126,1261,3786,1054,911,450,1407,225,399,2122,409,310,820,692,564,464,332,683,775,422,235,1696,5594,8036,1498,4947,1932
miR-129-1-3p,172,119,475,113,54,55,1219,1758,333,8,10,156,317,309,292,33,351,614,882,46,41,49,15,169,18,96,523,267,4131,312,2190
miR-129-2-3p,127,81,676,83,196,26,898,1158,232,6,24,117,228,330,178,26,214,446,1117,34,131,34,11,119,26,95,326,313,6692,373,1580
miR-1292-5p,1,6,18,28,18,22,11,1,10,11,42,4,3,10,2,6,6,11,6,11,9,17,13,4,10,16,21,26,30,8,3
miR-1293,0,2,0,10,7,0,3,0,0,1,4,0,2,0,3,0,0,0,1,0,0,5,1,0,1,2,2,5,4,5,3
miR-1294,0,0,1,9,5,6,0,18,4,9,1,0,52,3,0,13,1,1,0,0,15,1,0,0,4,5,4,3,1,27,1
miR-1295b-3p,0,2,2,14,10,2,3,3,2,1,1,0,2,0,0,4,0,0,2,0,2,4,1,0,2,1,7,5,1,4,2
miR-129-5p,65,59,256,30,123,40,595,623,119,6,24,45,138,111,84,45,180,252,420,27,51,65,21,73,12,51,193,121,2982,160,695
miR-1296-3p,2,9,9,10,19,9,10,1,7,7,12,3,6,3,1,3,10,4,2,3,8,6,13,2,11,7,8,14,12,4,10
miR-1296-5p,1459,363,1753,957,316,927,1042,639,878,561,424,1169,411,1159,863,590,1644,1730,1635,1670,559,2185,954,3674,1023,927,617,583,1667,1078,806
miR-1297,0,1,0,4,1,2,0,0,0,0,0,2,0,1,0,2,1,0,0,0,3,2,0,1,1,0,0,0,1,1,0
miR-1298-3p,97,0,3,71,3,3,7,11,97,2,5,36,0,4,44,4,5,32,50,1,9,2,2,40,1,2,19,68,5,14,52
